,ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,MHB_fnf,PAR_fnf,NHG_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf,ORO_otf,SHA_otf,FOL_otf,YRS_otf,MHB_otf,PAR_otf,NHG_otf,NML_otf,DNP_otf,EXC_otf,MIL_otf,PFT_otf,KWH_otf,SUC_otf,ISB_otf
0,617838.7092195046,873258.2370547312,245947.31265095694,6427.869408531477,41302.638287397385,863.4924736429913,37414.37249297194,72620.64836685719,115902.01993249351,72726.68438348794,0.0,18066.60368415536,3061.6546513500275,1383.3809856885177,2736.999410775537,261478.06197742853,279533.517421432,116728.23678234215,11859.055657629731,17434.400193723428,305.6342369758138,9060.315669678012,28624.485249173376,88021.96455881717,29759.2679706399,0.0,8509.068877291378,1607.7838521055828,858.5906914997147,1401.155601139839
1,410825.39386789163,484841.66505216033,407379.91168826463,6420.611787190533,0.0,804.4348302277479,67410.5215138306,151887.34156394174,187650.88941451328,123247.2694952852,74981.84116619967,77428.81632791502,28050.262652304857,7732.461189846689,10915.546564067543,173682.50832077366,154718.55150302514,193015.1946794634,11859.055657629731,0.0,284.73644218285403,16324.11405536303,59989.29234744938,141963.0511051765,50410.88853728772,28811.901550980725,36467.56240167445,14730.221836442573,4799.1703242445665,5588.218631667964
2,226220.73636361826,286559.0793445541,176626.25541728953,8776.305687213015,39171.293965903955,835.6367474400139,24679.5219244657,63395.43964045752,9418.418905466675,47043.57272786094,107400.0615685764,67015.72076209106,26331.0021717619,11420.763056452028,25073.507995991084,95429.94962679873,91680.49293475477,83560.87337661303,11859.055657629731,16534.666367889928,295.7755826383717,5976.407687312541,24988.288949402577,7142.008417728389,19249.981303021563,41233.28170714596,31563.204953627428,13827.43355807803,7088.501306272389,12835.952287515209
3,157927.6838764882,230876.98335817156,93448.58356507866,41184.29304219191,19453.391726725655,2326.3911210650226,12759.379413241619,27910.27264917919,74667.57669825631,21647.43829098575,9685.923370771867,25720.111802486772,8984.751264725626,3987.21022859241,11656.804614214854,67043.35681081118,73821.55156126272,44212.42814126775,11859.055657629731,8211.442706196924,823.4688299332695,3089.737676093949,11001.438632294807,56619.542739407814,8857.999208968515,3721.8169409442507,12113.780306535737,4718.299829379784,2474.675218332796,5967.555879781432
4,92759.03854064437,177911.0871760028,62706.11908723278,56385.218456738956,13473.080333004624,4424.417845239597,9613.555075929524,19583.730693699516,44692.18682888991,14432.525142429638,22075.594473322843,17556.67012382863,6332.661965248297,3192.8387923659707,7533.767103677038,39296.14465732318,56884.42071731392,29667.35454220819,11859.055657629731,5687.113275638139,1566.058408263252,2327.991028906007,7719.075098754293,33889.211650553814,5905.834107575443,8482.579816490033,8268.81281487374,3325.543730848301,1981.6448980432838,3856.9371010888353
5,68020.94735612663,143958.5896233305,42948.66817211383,44032.09699821301,10159.068816410421,2534.783487847675,7567.236203880703,14513.030213795611,32244.677831060537,10875.447014076663,14363.293688502978,12854.650245126846,4724.499435097898,2339.4354837343612,5568.726348940471,28816.027589308145,46004.71618809278,20319.904399874176,11859.055657629731,4288.1369001043395,897.169449737448,1832.4670619852793,5720.714629430062,24450.455472382408,4450.054271534437,5519.285349923008,6054.278674328547,2481.0263322691053,1451.9852820413266,2850.8390304167165
6,57455.79872057859,118850.0386331783,33266.51064397037,36132.122007242324,8197.791189782376,3270.1571402816257,6640.396284951102,11711.877126106765,21268.940514913607,9388.383244180995,15550.552550933786,10808.609405017298,3950.9110117261866,1971.1408684968583,4604.8215801885135,24340.362951811283,38063.363981534145,15739.010446148244,11859.055657629731,3460.4092112468406,1157.4347337428972,1608.0238534388322,4616.555642612153,16127.587350380982,3841.7247842631705,5975.318255730407,5090.642945718669,2074.7716070050606,1223.4184767956688,2357.3588626006367
7,52208.9715474658,85362.01124702656,28302.933025335027,127820.79376587704,6987.48603729072,15453.79627902294,5966.291069812795,10672.0330184767,12605.724453610244,8188.566577568865,13181.89301124864,9644.591454589494,3432.059945531166,1703.236141109681,4004.005336817522,22117.799425003144,27338.378003816048,13390.658910881439,24741.336956317507,2949.5085250837615,5469.878143193899,1444.792429041416,4206.67844296005,9558.95372716206,3350.699870557191,5065.0912864777365,4542.232368461014,1802.2936902623073,1057.1214742611676,2049.7881208870135
8,46787.14342735474,88000.79935682025,15092.998406464516,231810.5920838787,6067.888111465769,15453.79627902294,5187.938264549138,9343.895052916618,16026.673756220907,7383.68094240513,13215.089393915288,8862.393014526477,3074.1039252238033,1553.3356505969537,3608.8023618525162,19820.800537486095,28183.47933555526,7140.6430831654825,24741.336956317507,2561.3611581464424,5469.878143193899,1256.2989984872568,3683.0394083024657,12152.946777676552,3021.344721700806,5077.963183012623,4174.01383801659,1614.3495850391432,964.0830631515569,1847.4749218931636
9,43108.92230355573,75525.29365606635,22012.759284022522,211229.27783344084,5426.195781736898,15453.79627902294,4726.533174473314,8223.336454160588,11412.669534146404,6483.166221494324,13755.995158542482,8160.108190719609,2844.4227015399024,1385.7017951883176,3309.7407579692867,18262.42946008047,24188.100270271258,10414.548432919048,24741.336956317507,2290.480928570045,5469.878143193899,1144.5632020247397,3241.375813575302,8654.223527327009,2652.888048322659,5285.7523699329295,3843.226505702449,1493.7042423849723,860.0558633282125,1694.3730415734933
10,36895.321606172,67227.30325419323,20627.287742872923,167900.19520094016,4961.522025726338,15453.79627902294,3887.909493574159,7540.03814448383,10806.483572753443,6235.142336823884,13198.491202581963,7406.019162462589,2633.4153886666654,1320.7786371298082,2643.551075298292,15630.471449373365,21530.581620925183,9759.215890983536,24741.336956317507,2094.3499269020713,5469.878143193899,941.4955371493826,2972.0279395182056,8194.54911699789,2551.3744750450064,5071.527234745179,3488.0653699546347,1382.907499131142,819.763638044523,1353.3112635399423
11,35314.977688462015,62530.99379270761,19577.975849130424,109405.93364706424,5135.403776059791,15453.79627902294,3687.298584845541,6396.209626090761,13498.905892931287,6095.432110892369,12523.823543092089,7352.413072640256,2599.061696204854,1528.5208413298606,3353.7718901033777,14960.553202993236,20026.30125042938,9262.891104664915,24741.336956317507,2167.7276093442856,5469.878143193899,892.9147560787231,2521.163019900893,10236.283158636412,2494.2260930516613,4812.2504616853275,3462.8210735411876,1364.851733563851,948.69875895233,1716.9282292991588
12,30635.83651414849,51812.869365280014,18474.536554534236,63621.17525636657,5024.936725506652,15453.79627902294,2407.4185077603356,8749.68451088794,7844.2671061771825,5544.147974055064,11928.241383484527,7474.400712336793,3060.078793897651,2224.942215077558,2859.801834342176,12978.473149244626,16593.889687673192,8740.8309590557,24741.336956317507,2121.0950634931587,5469.878143193899,582.969372847915,3448.8238656441217,5948.154383834742,2268.6403746568776,4583.314587600566,3520.273610206275,1606.963135488888,1380.9244483591829,1464.0367305568466
13,29658.392200426442,47351.51118685888,16821.276819687457,55372.401150204256,4526.1818073146915,15453.79627902294,1797.5263040185705,8573.553612882064,7784.2924101486215,5251.952987689599,12451.572592582317,6372.818090055001,2359.925327806693,1327.860081500993,2435.244771287776,12564.30716786432,15165.01835908643,7958.659860616541,24741.336956317507,1910.562834429984,5469.878143193899,435.2837983931098,3379.3956869275407,5902.674230162603,2149.079943907642,4784.667826253429,3001.4597942609385,1239.28209120951,824.1591535300163,1246.6867397458861
14,31005.04582915704,36321.02378194671,15199.35400112439,51361.21132550051,4240.22220523047,15453.79627902294,1781.4949519236632,7232.368914136358,8966.676984920265,5985.229260431256,13655.429646346453,8228.489740593814,3138.2413235355343,1940.494281512319,3066.761620550427,13134.978266632575,11632.49479241652,7191.194681772008,6831.00257081031,1789.8668334035383,5469.878143193899,431.39733590745703,2850.7377477844207,6799.28297398477,2449.1089493727045,5247.13668032827,3875.434745954089,1647.99896632364,1204.3712430251971,1569.9777638137612
15,27448.471705100717,40859.793654787936,15399.7203446354,32943.101525490274,4061.5080513041303,15453.79627902294,1492.5802021476875,6330.391778079721,8251.211976162382,4658.386940879458,11435.177464465154,6916.176624035657,2647.440519992818,1600.5254437595547,2536.7048876885024,11628.139362025424,13086.069083007966,7285.864039162412,6831.00257081031,1714.43183276201,5469.878143193899,361.44101116570727,2495.2320133922904,6256.769712324256,1906.1993204359242,4393.913824301525,3257.3847303145103,1390.2939486813973,993.3864997215129,1298.6320205686313
16,0.0,36930.8106379927,14166.185367285621,18066.061003621162,3806.492788016452,15453.79627902294,1388.2450090054235,7960.2597894774035,7940.5761655972765,5709.587192012603,11973.154136504114,6640.758444898056,2400.582450078011,1343.2131289612087,2487.287684345348,0.0,11827.51817666403,6702.2228552507,6831.00257081031,1606.7655136645556,5469.878143193899,336.1790050089643,3137.6517875408927,6021.247487950679,2336.3160901753126,4600.783590040768,3127.681276328177,1260.620723243581,833.6827704152521,1273.3428706944
17,0.0,43506.73036399427,12557.556998055037,17470.286117424275,3640.749822681541,15453.79627902294,1324.031997608883,5341.468875345774,7989.88051693364,4954.270349178724,15883.492741796375,6583.458490062757,2314.6194260508632,1258.235796506991,2421.9142450453446,0.0,13933.770726537146,5941.191516228816,6831.00257081031,1536.8166948878657,5469.878143193899,320.63315506635325,2105.430431682332,6058.606185609936,2027.2636559744585,6103.117799898205,3100.6959939551807,1215.4813093253538,780.936584589331,1239.8518343744722
18,0.0,40230.99340011245,13051.35083040445,29988.058089953724,3507.5619973408025,15453.79627902294,1267.8784637682522,5799.85708309131,8041.30054006242,4930.430548874891,14588.833817796987,5812.792116381686,2216.128335277321,1195.6929558841737,2309.7493121166053,0.0,12884.54491928554,6174.6479897935005,6831.00257081031,1480.5833307732717,5469.878143193899,307.0305363665685,2286.1109931616256,6097.58917447177,2017.4882748440177,5605.710940942959,2737.7004213894006,1163.7761624735663,742.1095311341392,1182.438629254596
19,0.0,41606.74860094673,15007.534089327119,37115.69218300009,3994.9565281389623,15453.79627902294,4959.206787391748,8768.767792263923,11759.455736642834,10792.682424342604,18052.973985481618,7916.132911326538,2730.3306219878314,1458.8965563358581,2631.499740968013,0.0,13325.297767684913,7100.201804280261,6831.00257081031,1686.315150704713,5469.878143193899,1200.9169080667048,3456.3522223724253,8917.358702144384,4416.216413775221,6937.032811122622,3728.3214323722736,1433.7919293662344,905.4761900116446,1347.1598487056697
20,29671.197147767776,61674.032754478154,18171.61303045835,34534.36208516886,4992.466364522881,15453.79627902294,6881.129375425443,9012.858539251616,15049.785302504175,9974.932293165857,20094.551519480647,7507.6454974535,2439.584922024334,1418.7882075444418,2412.5559463195978,12570.032964841928,19751.96835658788,8597.448243008099,6831.00257081031,2107.379608831063,5469.878143193899,1666.3207907236238,3552.547891678531,11412.269989301718,4081.597598156291,7721.299078569619,3535.942483842208,1281.1386386609572,880.568268927182,1235.0674006144825
21,58739.49469154762,68226.86478214391,60536.27503546661,34405.458064337174,14060.598875086942,15453.79627902294,20390.47821645121,16516.774758273765,23110.494831618784,30460.96748255735,20317.162556186428,10320.298469156716,2921.0093737254088,1561.6072536859845,3053.431094307995,24884.313664684036,21850.419971091098,28640.69753050838,4389.119911206844,5935.363005022078,5469.878143193899,4937.75058802184,6510.355601821051,17524.477784596675,12464.362893706462,7806.8052484085065,4860.832799058318,1533.9193566030292,969.2111645512992,1563.1428584423475
22,47368.70145244046,57914.81222544628,80493.14269057283,33762.021187244536,26122.108684906772,15453.79627902294,33025.46134567771,14566.58023806495,41729.32646220292,21920.921283150474,34706.81807798351,19212.60278086137,6573.374191098835,5136.844042095936,4789.0252155384715,20067.009807523234,18548.02399783325,38082.81703023279,4389.119911206844,11026.539775592142,5469.878143193899,7997.36817985198,5741.626731453129,31642.816917390664,8970.04011577126,13336.20423132321,9048.774524751292,3451.9340898193373,3188.2138988112274,2451.6805567261476
23,35848.51716101771,57439.47725970887,38865.37301999369,28103.242995439945,11251.870260485612,15453.79627902294,12036.65452371712,12155.855509139825,25365.98493379715,12196.081989398406,21235.921264695793,11253.675091945575,4596.382224219674,2952.010175809795,3963.946432200116,15186.72218360875,18395.905758120192,18387.914213130214,4389.119911206844,4749.6619494838715,5469.878143193899,2914.8468642395746,4791.380815524988,19234.856420909615,4990.708043287271,8159.862981936815,5300.431753844216,2413.727569700112,1832.1973715365073,2029.2834047727717
24,81786.26574806377,71888.30211822409,60310.269396814394,21031.936709815833,16657.379963684547,15453.79627902294,21514.424923432947,23354.626039065835,47217.19512027638,29299.564380963093,37391.819617197914,28052.652416772824,11460.423322409386,4857.09723546619,6174.861337630413,34647.75181100181,23023.16058836613,28534.079613447342,4389.119911206844,7031.227832523555,5469.878143193899,5209.802962017534,9205.507310553858,35804.25097839137,11989.128980288117,14367.794796476237,13212.342447010595,6018.314950224726,3014.5910371342375,3161.1437342789054
25,135519.02602914866,207789.2850223544,120599.64751610631,17372.79568150115,30448.381585694755,15453.79627902294,42398.10812509907,33722.88437441466,68499.01363740471,33651.00264774189,43498.00129946953,30017.60841513431,13964.460814235927,6669.05437545112,8081.126590298077,57212.163400258374,66574.48260262523,57269.446501346116,4389.119911206844,12852.752563850236,5469.878143193899,10267.062271473196,13292.568529941967,51941.58407598782,13769.752250817612,16714.157650549787,14137.676484510414,7333.102970170181,4139.110415506304,4137.168221316803
26,90625.94772936667,149390.98923175805,72996.02287057553,16974.168121282142,21784.8145127666,15453.79627902294,16631.432760754695,18893.422199027496,36980.10321687384,15246.676813183167,43498.00129946953,17227.826043405916,7762.673810407512,4235.060781583879,5825.1033384918765,38392.423034357394,47692.31853978124,34535.933048003986,4389.119911206844,9195.526578202316,5469.878143193899,4027.346750757679,7447.21777245443,28041.763321278806,6238.949018405075,16714.157650549787,8113.865064473959,4076.499435124262,2628.518260325065,2982.0692135478625
27,83027.27856122835,145316.6895254374,47506.7650861084,16432.554588375886,13916.47455740441,15453.79627902294,9633.703769819298,14906.379482974024,26068.755911800527,11148.930006241382,21917.423473558214,13450.173360632092,5798.209910274746,3125.5353168717693,4703.588660984708,35173.570833445476,46436.36794522728,22476.159860436182,4389.119911206844,5874.3292317757505,5469.878143193899,2332.849107013073,5875.464184400753,19767.623935354673,4562.09517833718,8421.898018539856,6334.577413815791,3044.8586479385976,1939.8875009310962,2407.9371623490993
28,69921.41495737004,117660.34311893265,38453.24509068668,16435.804269573324,10771.17327150917,15453.79627902294,7318.44363585045,13257.038735478402,17556.39644786961,9256.13982362766,20530.00995093142,11623.962535928411,4913.602329383099,2620.372449081954,3955.9346512766347,29621.456364158323,37682.41830430402,18193.060778501425,5359.1119144832655,4546.6732204848495,5469.878143193899,1772.2268934576616,5225.516053523848,13312.690696316096,3787.5842118484225,7888.63373352314,5474.530349799026,2580.333042889205,1626.3407296325656,2025.1824615499236
29,60016.78818884597,107084.8191812263,32015.8828031931,16260.321484911696,8883.144709868011,15453.79627902294,5549.037900260651,11873.500835719677,16755.200738653723,8052.544773571149,17856.724782069945,10235.60985666429,4257.178907595594,2280.40361132919,3779.675470960043,25425.401479067983,34295.512197872245,15147.097182464557,5359.1119144832655,3749.8053046170676,5469.878143193899,1343.744404414444,4680.128432762274,12705.205786552528,3295.055393353144,6861.64027427543,4820.790121988712,2235.632063877288,1415.3559863288813,1934.9617106472608
30,53932.304043820724,100090.6046853758,28745.448267401996,16148.749097133006,7673.009115397159,15453.79627902294,4638.2293334259575,10886.233115554056,13726.110646291017,7356.062758656916,16768.078703443014,9649.997110706032,3858.723350762151,2054.987550169122,3547.401150069197,22847.83853964815,32055.343590815835,13600.218265104857,5359.1119144832655,3238.904618453989,5469.878143193899,1123.1876583536496,4291.163335133238,10408.458026109509,3010.0654357810668,6443.303636891628,4544.843847400337,2026.3493266200533,1275.432076707341,1816.03435718466
